date,total_price(萬),square(坪),square_price(萬/坪),主建物佔比,type,age,floor,格局,電梯
2016-09-26,1165.0,38.41,30.31,85.57%,公寓,38,2F/4F,3房2廳1衛,N
2016-09-26,398.0,45.69,8.7,65.52%,套房,21,4F/14F,1房1廳1衛,N
2016-09-26,715.0,24.59,29.11,84.74%,公寓,31,5F/5F,2房1廳2衛,N
2016-09-26,1330.0,42.69,31.13,84.88%,公寓,39,3F/4F,3房2廳2衛,N
2016-09-26,2270.0,49.31,46.03,63.70%,住宅大樓,3,6F/210F,3房2廳2衛,N
2016-09-26,1388.0,36.31,38.28,60.00%,住宅大樓,,12F/15F,3房2廳2衛,N
2016-09-25,1100.0,43.0,25.58,100.00%,公寓,,2F/4F,3房2廳1衛,N
2016-09-25,820.0,24.3,33.68,88.56%,公寓,32,1F/5F,3房2廳2衛,N
2016-09-25,1002.0,22.5,44.54,61.86%,華廈,3,4F/8F,4房2廳2衛,N
2016-09-23,610.0,22.59,27.03,71.73%,住宅大樓,27,10F/12F,,N
2016-09-23,1600.0,67.88,23.56,53.29%,住宅大樓,,8F/15F,2房2廳1衛,Y
2016-09-23,680.0,29.09,23.38,81.15%,住宅大樓,16,3F/17F,3房2廳2衛,N
2016-09-22,1650.0,50.69,32.52,100.00%,公寓,,1F/4F,3房2廳2衛,N
2016-09-22,2700.0,0.0,65.7,,透天厝,25,A/2F,5房3廳3衛,N
2016-09-21,805.0,30.0,26.83,65.11%,住宅大樓,25,5F/11F,3房1廳1衛,N
2016-09-21,720.0,27.59,26.07,63.09%,住宅大樓,9,5F/14F,2房2廳1衛,N
2016-09-21,1500.0,54.0,27.76,57.36%,住宅大樓,4,11F/210F,1房2廳1衛,N
2016-09-21,515.0,18.41,27.95,84.83%,公寓,37,2F/5F,3房2廳1衛,N
2016-09-21,3168.8,0.0,66.73,,透天厝,21,A/2F,5房2廳5衛,N
2016-09-21,4750.0,0.0,84.81,,透天厝,17,A/3F,6房2廳3衛,N
2016-09-21,894.0,22.8,39.24,58.57%,華廈,3,5F/8F,4房2廳2衛,N
2016-09-20,750.0,34.19,21.93,80.36%,公寓,44,4F/4F,3房1廳1衛,N
2016-09-20,2380.0,0.0,72.36,,透天厝,28,A/3F,5房3廳4衛,N
2016-09-20,1150.0,29.09,39.47,76.54%,住宅大樓,14,6F/14F,3房2廳2衛,N
2016-09-20,1258.0,33.31,37.81,71.38%,華廈,23,3F/7F,3房2廳2衛,N
2016-09-20,480.0,18.5,25.95,86.95%,公寓,35,3F/5F,3房2廳1衛,N
2016-09-20,950.0,34.59,27.44,89.31%,公寓,44,3F/4F,3房2廳1衛,N
2016-09-19,750.0,22.8,32.92,88.79%,公寓,32,5F/5F,3房1廳2衛,N
2016-09-19,568.0,19.09,29.67,74.30%,華廈,20,8F/9F,3房2廳2衛,N
2016-09-19,740.0,23.41,31.6,68.20%,華廈,13,7F/10F,3房2廳2衛,N
2016-09-19,720.0,32.69,22.03,87.90%,公寓,39,2F/4F,3房2廳2衛,N
2016-09-18,1792.0,65.69,27.27,54.43%,住宅大樓,,5F/15F,2房2廳1衛,N
2016-09-16,600.0,16.8,35.82,91.01%,公寓,31,1F/5F,3房2廳2衛,N
2016-09-16,828.0,55.59,14.9,63.18%,套房,7,17F/19F,1房1廳1衛,N
