"買賣案件:新北市新店區房地(土地+建物),建物,105 年 1 月 至105 年 10 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
環河路１９巷１號五樓,,105/10/24,750,27.8,27,63.70%,華廈(10層含以下有電梯),18,五層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
新店路９７號,碧潭天廈,105/10/24,160,8,20.09,84.83%,華廈(10層含以下有電梯),23,"一層,騎樓/十層",建物,土:0 建:1車:0,2房2廳2衛,,無,無,商業用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
安康路三段３６１號五樓,晶喜,105/10/24,1018,28.2,36.05,65.49%,華廈(10層含以下有電梯),,五層/七層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
中興路一段１７９號７樓,遠景21,105/10/23,1200,50.8,23.61,67.73%,住宅大樓(11層含以上有電梯),17,七層/二十層,房地(土地+建物),土:1 建:1車:0,1房2廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中央路１５３號７樓之１５,美河市住辦區,105/10/23,655,47.1,13.91,55.63%,套房(1房(1廳)1衛),4,七層/二十九層,房地(土地+建物),土:3 建:1車:0,1房1廳1衛,,有,無,辦公用,,,
光明街２８６巷６-１號,,105/10/23,1056,44.1,23.94,95.78%,公寓(5樓含以下無電梯),33,一層/五層,房地(土地+建物),土:1 建:1車:0,4房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
中興路二段１００巷９號４樓,溫哥華,105/10/23,950,34.2,27.79,100.00%,公寓(5樓含以下無電梯),35,"四層,陽台/五層",房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
吉祥街１３巷１６號２樓,馨園,105/10/23,860,21.1,40.72,71.81%,公寓(5樓含以下無電梯),28,"二層,三層/五層",房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,有,無,住家用,,,
安祥路１１０巷４號七樓,新鎮社區,105/10/22,550,17.5,31.48,83.70%,住宅大樓(11層含以上有電梯),21,"七層,電梯樓梯間/十六層",房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,,,
永平街５６號３樓,,105/10/21,888,28,31.75,100.00%,公寓(5樓含以下無電梯),35,"三層,陽台/五層",房地(土地+建物),土:4 建:1車:0,3房2廳1衛,,無,無,住家用,,,
中興路二段６７巷９號三樓,,105/10/21,710,25.3,28.05,100.00%,公寓(5樓含以下無電梯),41,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,二親等間買賣親友、員工或其他特殊關係間之交易。;,,
三民路１４３巷２６號四樓,,105/10/21,900,31.6,28.44,89.95%,公寓(5樓含以下無電梯),32,四層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
安康路三段３５９巷１２弄２５號,,105/10/21,1000,35.7,28.03,84.64%,公寓(5樓含以下無電梯),34,一層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,"含增建,加蓋鐵皮屋含增建或未登記建物。;",,
中央路１８１號２４樓之１,美河市住辦區,105/10/21,1230,52.1,23.59,59.61%,住宅大樓(11層含以上有電梯),4,二十四層/二十八層,房地(土地+建物),土:3 建:1車:0,2房2廳1衛,,有,無,住家用,,,
安興路５號地下二層之６,三圓羅馬,105/10/20,450,8.4,53.69,76.60%,住宅大樓(11層含以上有電梯),21,地下二層/二十一層,房地(土地+建物),土:1 建:1車:0,,,有,無,辦公用,,,
安民街１９２號３樓,桃李春風,105/10/20,300,10.1,29.65,79.46%,華廈(10層含以下有電梯),17,三層/八層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,無,住家用,二等親買賣 親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
環河路１９巷１５之２號５樓,,105/10/20,800,29.9,26.78,91.01%,公寓(5樓含以下無電梯),34,五層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,,,
自強路８８號４樓,,105/10/20,468,16,29.17,100.00%,公寓(5樓含以下無電梯),35,"四層,陽台/四層",房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
光明街２８６巷２０號四樓,,105/10/20,345.2,21.6,15.97,100.00%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳2衛,,無,無,住家用,二等親交易,,
合作路７號二樓,上碧潭,105/10/20,758,33.5,22.63,61.91%,住宅大樓(11層含以上有電梯),1,二層/十二層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,,,
中正路４００巷２４號四樓,,105/10/19,980,36.8,26.65,100.00%,公寓(5樓含以下無電梯),,四層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,,,
中興路二段３９號十三樓,巴黎皇宮,105/10/19,1633.3,39.5,41.39,57.56%,住宅大樓(11層含以上有電梯),,十三層/二十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段４３號十七樓,巴黎皇宮,105/10/19,1647,39.1,42.11,53.60%,住宅大樓(11層含以上有電梯),,十七層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段４５號四樓,巴黎皇宮,105/10/19,998,36.3,27.48,57.95%,住宅大樓(11層含以上有電梯),,四層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段４７號三樓,巴黎皇宮,105/10/19,1100,35.9,30.64,54.97%,住宅大樓(11層含以上有電梯),,三層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５１號八樓,巴黎皇宮,105/10/19,1204.2,29.3,41.05,47.03%,住宅大樓(11層含以上有電梯),,八層/二十四層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５１號十四樓,巴黎皇宮,105/10/19,1180,41.6,28.34,45.31%,住宅大樓(11層含以上有電梯),,十四層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５３號五樓,巴黎皇宮,105/10/19,1050,43.4,24.18,55.40%,住宅大樓(11層含以上有電梯),,五層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５３號十三樓,巴黎皇宮,105/10/19,930,38.5,24.18,55.40%,住宅大樓(11層含以上有電梯),,十三層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５３號十六樓,巴黎皇宮,105/10/19,1120,46.3,24.18,55.40%,住宅大樓(11層含以上有電梯),,十六層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
中興路二段５３號十七樓,巴黎皇宮,105/10/19,1210,50,24.18,55.40%,住宅大樓(11層含以上有電梯),,十七層/二十四層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,無,住家用,建物第一次登記後移轉,,
