"買賣案件:臺北市文山區房地(土地+建物),建物,104 年 1 月 至104 年 12 月",,,,,,,,,,,,,,,,,,,
地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,,
,,,,(萬元/坪),(坪),,,,,,,,(萬元),,,,,,
木新路三段４１５號三樓,,104/12/10,378.6,42.9,8.81,100.00%,公寓(5樓含以下無電梯),50,三層/三層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,無,無,商業用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
興隆路四段７４巷２１弄１６號,,104/12/10,418.9,15.8,26.5,87.89%,公寓(5樓含以下無電梯),,一層/五層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
辛亥路六段８６巷４號二樓,,104/12/09,350,10.4,33.53,88.60%,公寓(5樓含以下無電梯),33,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,受債權債務影響或債務抵償之交易。受債權債務影響或債務抵償之交易。;,,
景文街１９１號二樓,,104/12/09,812,22.1,36.73,90.52%,公寓(5樓含以下無電梯),35,二層/五層,房地(土地+建物),土:1 建:1車:0,,,無,無,其他,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
政大一街３６巷７號四樓,澄館,104/12/09,2000,32.9,60.78,45.00%,住宅大樓(11層含以上有電梯),3,四層/十三層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,無,住家用,,,
木柵路一段２８８巷９號,,104/12/09,855,0,22.48,,透天厝,,全/二層,房地(土地+建物),土:2 建:1車:0,2房1廳2衛,,無,無,住家用,親友、員工或其他特殊關係間之交易。 含增建或未登記建物。親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;,,
福興路６３巷４弄１１之６號六樓,興隆及第,104/12/09,530,40.6,13.07,75.90%,華廈(10層含以下有電梯),18,"六層,電梯樓梯間/八層",房地(土地+建物),土:3 建:1車:0,2房1廳1衛,,有,無,住家用,,,
溪口街４８號,,104/12/08,1600,65,24.63,,店面（店舖),,一層/四層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
溪洲街２３巷２８號四樓,,104/12/08,1150,39.7,28.97,83.93%,公寓(5樓含以下無電梯),33,四層/五層,房地(土地+建物),土:2 建:1車:0,3房1廳2衛,,無,無,住家用,,,
辛亥路七段５巷１５號３樓,,104/12/07,720,35.9,20.06,100.00%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
辛亥路七段５巷１３號３樓,,104/12/07,600,30.5,19.65,100.00%,公寓(5樓含以下無電梯),,三層/四層,房地(土地+建物),土:2 建:1車:0,4房1廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
木柵路四段３３巷９號４樓之２,湯泉行館,104/12/07,700,52.4,13.35,62.35%,套房(1房(1廳)1衛),7,四層/十層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
木柵路二段１０９巷１００弄４２號６樓,觀星台北,104/12/07,845,36.8,22.99,65.11%,住宅大樓(11層含以上有電梯),19,六層/十七層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興隆路二段２２巷８弄２號,,104/12/07,1490,52.6,28.35,100.00%,公寓(5樓含以下無電梯),,"一層,平台,騎樓/四層",房地(土地+建物),土:1 建:1車:0,0房0廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
景華街１２８巷３５號,,104/12/07,1580,51.7,30.58,77.30%,公寓(5樓含以下無電梯),32,一層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
木柵路二段１０９巷１００弄１３號９樓之１,觀星台北,104/12/07,400,38.7,10.34,69.17%,套房(1房(1廳)1衛),22,九層/十層,房地(土地+建物),土:3 建:1車:0,1房1廳1衛,,有,無,住家用,親友、員工或其他特殊關係間之交易。親友、員工或其他特殊關係間之交易。;,,
久康街２６號４樓,川露,104/12/06,1240,43.4,28.55,46.03%,華廈(10層含以下有電梯),6,四層/七層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興隆路四段１４５巷６１弄８號,三普清境,104/12/06,1650,40.9,40.35,82.67%,公寓(5樓含以下無電梯),27,"一層,夾層/五層",房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,無,無,商業用,含增建或未登記建物。含增建或未登記建物。;,,
樟新街５６巷１０號２樓之１,雅歌華廈,104/12/06,1175,53.9,21.8,68.30%,華廈(10層含以下有電梯),23,二層/八層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
下崙路１１巷３１號地下之５,香榭園,104/12/06,270,37.5,7.19,70.86%,套房(1房(1廳)1衛),21,地下一層/六層,房地(土地+建物),土:1 建:1車:0,,,有,無,其他,,,
福興路９５巷３３號６樓之１,太平洋敦南大地Ａ區,104/12/06,390,45.5,8.58,72.38%,套房(1房(1廳)1衛),15,六層/十層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,有,無,住家用,,,
景華街１２８巷２９號２樓,,104/12/06,1300,42.1,30.86,76.62%,公寓(5樓含以下無電梯),32,二層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,無,住家用,,,
羅斯福路五段１９０之３號４樓,,104/12/06,1430,39.9,35.87,93.30%,公寓(5樓含以下無電梯),36,四層/五層,房地(土地+建物),土:4 建:1車:0,4房2廳2衛,,無,無,住家用,,,
興隆路四段２９巷４弄１號８樓之３,,104/12/05,800,58,13.78,69.19%,住宅大樓(11層含以上有電梯),17,八層/十一層,房地(土地+建物),土:2 建:1車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
興隆路二段１５３巷２弄２４號３樓,,104/12/05,1100,46.4,23.68,88.95%,公寓(5樓含以下無電梯),43,三層/四層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
木柵路二段１０９巷２５弄１６號２樓,,104/12/05,1050,34.9,30.12,86.85%,公寓(5樓含以下無電梯),35,二層/五層,房地(土地+建物),土:2 建:1車:0,3房2廳1衛,,無,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
景文街１７９號３樓之２,美輪,104/12/05,1360,38.4,35.4,83.27%,華廈(10層含以下有電梯),33,三層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳1衛,,無,無,其他,,,
指南路三段３２巷５號５樓之８,水事紀,104/12/04,1210,47.2,25.65,56.16%,華廈(10層含以下有電梯),5,五層/十層,房地(土地+建物),土:1 建:2車:0,2房1廳1衛,,有,無,住家用,含增建或未登記建物。含增建或未登記建物。;,,
